time,open,high,low,close,Resistance,Support,Break,Break,Break,Break,Point of Control,Value Area Low,Value Area High,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,SIGNAL,MACD,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Plot
1642377600,43030.378087803954,43209.47,41581,42536.155,52098.6,41967.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41905.485833333325,43231.92999999999,41395.314999999995,1060.00938797,2298.0414764819434,45870.732166666705,46158.68580000006,NaN,NaN,NaN,-4481.285348030477,-4864.404272759275,35.33645161123826,36.67574369083734,NaN,NaN,-3354.2342178364443,0
1642464000,42783.26654390198,42783.26654390198,41290.06,42145.7,52098.6,41967.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41905.485833333325,43027.861666666664,41395.314999999995,1639.00917148,2250.515389287816,45706.28725000004,46001.948716666724,NaN,NaN,NaN,-4594.248201953634,-4924.490116715839,33.84474330223989,36.73946223173877,NaN,NaN,-3054.5553904008657,0
1642550400,42464.48327195099,42589.9,41145.23,41949.1425,52098.6,41967.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41905.485833333325,43027.861666666664,41395.314999999995,1664.70405269,2217.941601587816,45548.69950000004,45851.03690000006,NaN,NaN,NaN,-4687.256012112523,-4982.582131100433,33.087512272688826,36.68406962282995,NaN,NaN,-2783.7019593938558,0
1642636800,42206.812885975494,43518.69,40554.14,41635.5225,52098.6,41967.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41905.485833333325,43027.861666666664,41395.314999999995,2425.58191611,2158.6535123941653,45337.57400000004,45693.05505000005,NaN,NaN,NaN,-4765.6034896718875,-5045.468383062886,31.86256681715622,36.58882194434251,NaN,NaN,-2511.047344458272,0
1642723200,41921.16769298774,41921.16769298774,35423,38422.19,52098.6,41967.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,42009.81041666666,43327.1725,41068.837499999994,6201.26782978,2205.0699986986097,44988.508583333365,45490.36030000005,NaN,NaN,NaN,-4844.585487696742,-5278.231420431708,22.621673374904262,36.32933816416214,NaN,NaN,-2578.010867915549,0
1642809600,40171.67884649387,40171.67884649387,34000,35591.115000000005,52098.6,41967.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,42060.09541666666,44020.659166666665,40535.212499999994,4510.37218636,2258.0575046732133,44517.32283333337,45219.678433333385,NaN,NaN,NaN,-4943.256456813926,-5642.509143625386,17.740013291826955,35.95298140559878,NaN,NaN,-2955.1649181585353,0
1642896000,37881.39692324694,37881.39692324694,34624.59,35644.3675,52098.6,41967.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,42060.09541666666,44020.659166666665,39228.17,2533.70397599,2284.0579631048004,44005.4819166667,44879.51736666671,NaN,NaN,NaN,-5065.1431809968135,-5960.47028556509,18.09803588563267,35.503096614995144,NaN,NaN,-3264.3642264372406,0
1642982400,36762.882211623466,38050,32950.72,35996.979999999996,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,37265.3275,6335.15428027,2337.899088621626,43516.4654166667,44473.07055000005,NaN,NaN,NaN,-5205.7434371167365,-6218.940170221031,20.563420719131173,35.152147492951194,NaN,NaN,-3361.031587394514,0
1643068800,36379.93110581173,37552.3,35722.43,36743.0575,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,36785.926666666666,2793.69107911,2338.8673616801975,43058.198833333365,44017.19551666671,NaN,NaN,NaN,-5356.134719492876,-6400.7136128187485,25.662252927310504,34.76933736217827,NaN,NaN,-3275.7337606465544,0
1643155200,36561.49430290586,38946,36279.21,37265.3225,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,36785.926666666666,3663.15557069,2368.2864272441657,42598.86400000004,43539.266600000046,NaN,NaN,NaN,-5514.351481194914,-6525.599787670581,29.09331843490436,34.36866771326933,NaN,NaN,-3140.8249329520304,0
1643241600,36913.408401452936,37251,35511.32,36698.675,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,36785.926666666666,3103.82301099,2395.931636863213,42186.562000000034,43073.11443333338,NaN,NaN,NaN,-5682.221221507589,-6661.024112612424,27.604615464630413,33.826952578952756,NaN,NaN,-3166.069749007512,0
1643328000,36806.04170072647,38022.11,36173.98,37281.0175,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,36785.926666666666,2420.65410706,2351.466331008927,41859.77583333337,42643.97321666671,NaN,NaN,NaN,-5852.743149918089,-6740.145485274785,31.484796082238958,33.25755396549861,NaN,NaN,-3132.99839988442,0
1643414400,37043.52960036324,38741.67,37043.52960036324,37993.8125,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,36785.926666666666,1296.90892268,2350.455903308927,41563.93633333337,42253.46740000005,NaN,NaN,NaN,-6019.676042923021,-6760.751939770089,36.00597146968233,32.85385691481534,NaN,NaN,-2945.2704096899006,0
1643500800,37518.67105018162,38378.88,37372.59,37967.435,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,36785.926666666666,708.79481272,2339.8406694057526,41266.438750000045,41895.11538333339,NaN,NaN,NaN,-6182.223590893951,-6770.605158780658,35.911532333228806,32.46755069376324,NaN,NaN,-2806.684593602524,0
1643587200,37743.053025090805,38776.33,36631.66,37953.5025,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,36785.926666666666,2009.13000337,2338.8786858243234,40963.48633333338,41568.03985000005,NaN,NaN,NaN,-6338.999464180972,-6770.002989220113,35.85803353250067,32.01426043479421,NaN,NaN,-2598.3601284080037,0
1643673600,37848.277762545404,39285,37848.277762545404,38633.845,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,37265.3275,2074.15802835,2315.238047199879,40670.077250000046,41264.742900000056,NaN,NaN,NaN,-6470.09515059673,-6720.283971005054,40.51796133454985,31.913210076128312,NaN,NaN,-2151.6014917849106,0
1643760000,38241.0613812727,38883.96,36618.36,37798.475000000006,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,37265.3275,1672.70719509,2301.859737287657,40371.61683333338,40967.11110000006,NaN,NaN,NaN,-6567.392411329819,-6712.779011689367,36.96669310390998,31.884410988219056,NaN,NaN,-1822.3669730189622,0
